file name,visibility,x-coordinate,y-coordinate,status
frame_0000_00m00s.jpg,1,720.0,165.0,0
frame_0001_00m00s.jpg,1,828.0,263.0,0
frame_0002_00m00s.jpg,1,982.0,470.0,2
frame_0003_00m00s.jpg,2,1129.0,529.0,1
frame_0004_00m00s.jpg,1,962.0,292.0,0
frame_0005_00m01s.jpg,1,836.0,158.0,0
frame_0006_00m01s.jpg,2,753.0,103.0,0
frame_0007_00m01s.jpg,2,693.0,99.0,0
frame_0008_00m01s.jpg,1,646.0,129.0,0
frame_0009_00m01s.jpg,1,612.0,185.0,2
frame_0010_00m02s.jpg,2,595.0,151.0,0
frame_0011_00m02s.jpg,1,597.0,125.0,1
frame_0012_00m02s.jpg,1,701.0,146.0,0
frame_0013_00m02s.jpg,1,822.0,227.0,1
frame_0014_00m02s.jpg,1,791.0,187.0,0
frame_0015_00m03s.jpg,0,,,2
frame_0016_00m03s.jpg,3,,,1
frame_0017_00m03s.jpg,1,685.0,160.0,0
frame_0018_00m03s.jpg,1,636.0,137.0,0
frame_0019_00m03s.jpg,2,584.0,151.0,0
frame_0020_00m04s.jpg,3,,,1
frame_0021_00m04s.jpg,1,479.0,249.0,0
frame_0022_00m04s.jpg,1,454.0,162.0,0
frame_0023_00m04s.jpg,1,435.0,128.0,0
frame_0024_00m04s.jpg,1,417.0,142.0,0
frame_0025_00m05s.jpg,1,432.0,173.0,1
frame_0026_00m05s.jpg,1,552.0,169.0,0
frame_0027_00m05s.jpg,1,678.0,212.0,0
frame_0028_00m05s.jpg,1,805.0,304.0,1
frame_0029_00m05s.jpg,1,889.0,290.0,0
frame_0030_00m06s.jpg,1,891.0,192.0,0
frame_0031_00m06s.jpg,1,891.0,146.0,0
frame_0032_00m06s.jpg,1,891.0,143.0,1
frame_0033_00m06s.jpg,1,826.0,162.0,0
frame_0034_00m06s.jpg,1,661.0,190.0,0
frame_0035_00m07s.jpg,1,484.0,271.0,0
frame_0036_00m07s.jpg,1,328.0,337.0,2
frame_0037_00m07s.jpg,1,223.0,321.0,0
frame_0038_00m07s.jpg,1,111.0,357.0,0
